station_name,line,borough,segment,unique_key,station_key,station_key_split,line_designators_str
West 4 St-Washington Sq,B,M,6 Av,BWest 4 St-Washington Sq6 Av,West_4_St_Washington_Sq|A_B_C_D_E_F_M,B|West_4_St_Washington_Sq|A_B_C_D_E_F_M,B_D_F_M
West 4 St-Washington Sq,D,M,6 Av,DWest 4 St-Washington Sq6 Av,West_4_St_Washington_Sq|A_B_C_D_E_F_M,D|West_4_St_Washington_Sq|A_B_C_D_E_F_M,B_D_F_M
West 4 St-Washington Sq,F,M,6 Av,FWest 4 St-Washington Sq6 Av,West_4_St_Washington_Sq|A_B_C_D_E_F_M,F|West_4_St_Washington_Sq|A_B_C_D_E_F_M,B_D_F_M
West 4 St-Washington Sq,M,M,6 Av,MWest 4 St-Washington Sq6 Av,West_4_St_Washington_Sq|A_B_C_D_E_F_M,M|West_4_St_Washington_Sq|A_B_C_D_E_F_M,B_D_F_M
14 St,F,M,6 Av,F14 St6 Av,14_St_6_Av|F_M_1_2_3_L,F|14_St_6_Av|F_M_1_2_3_L,F_M
14 St,M,M,6 Av,M14 St6 Av,14_St_6_Av|F_M_1_2_3_L,M|14_St_6_Av|F_M_1_2_3_L,F_M
34 St-Herald Square,B,M,6 Av,B34 St-Herald Sq6 Av,34_St_Herald_Square|B_D_F_M_N_Q_R_W,B|34_St_Herald_Square|B_D_F_M_N_Q_R_W,B_D_F_M
34 St-Herald Square,D,M,6 Av,D34 St-Herald Sq6 Av,34_St_Herald_Square|B_D_F_M_N_Q_R_W,D|34_St_Herald_Square|B_D_F_M_N_Q_R_W,B_D_F_M
34 St-Herald Square,F,M,6 Av,F34 St-Herald Sq6 Av,34_St_Herald_Square|B_D_F_M_N_Q_R_W,F|34_St_Herald_Square|B_D_F_M_N_Q_R_W,B_D_F_M
34 St-Herald Square,M,M,6 Av,M34 St-Herald Sq6 Av,34_St_Herald_Square|B_D_F_M_N_Q_R_W,M|34_St_Herald_Square|B_D_F_M_N_Q_R_W,B_D_F_M
42 St-Bryant Pk,B,M,6 Av,B42 St-Bryant Pk6 Av,42_St_Bryant_Pk_5_Av|B_D_F_M_7,B|42_St_Bryant_Pk_5_Av|B_D_F_M_7,B_D_F_M
42 St-Bryant Pk,D,M,6 Av,D42 St-Bryant Pk6 Av,42_St_Bryant_Pk_5_Av|B_D_F_M_7,D|42_St_Bryant_Pk_5_Av|B_D_F_M_7,B_D_F_M
42 St-Bryant Pk,F,M,6 Av,F42 St-Bryant Pk6 Av,42_St_Bryant_Pk_5_Av|B_D_F_M_7,F|42_St_Bryant_Pk_5_Av|B_D_F_M_7,B_D_F_M
42 St-Bryant Pk,M,M,6 Av,M42 St-Bryant Pk6 Av,42_St_Bryant_Pk_5_Av|B_D_F_M_7,M|42_St_Bryant_Pk_5_Av|B_D_F_M_7,B_D_F_M
Fulton St,A,M,8 Av,AFulton St8 Av,Fulton_St|A_C_J_Z_2_3_4_5,A|Fulton_St|A_C_J_Z_2_3_4_5,A_C
Fulton St,C,M,8 Av,CFulton St8 Av,Fulton_St|A_C_J_Z_2_3_4_5,C|Fulton_St|A_C_J_Z_2_3_4_5,A_C
World Trade Center,E,M,8 Av,EWorld Trade Center8 Av,Chambers_St_WTC_Park_Place|A_C_E_2_3,E|Chambers_St_WTC_Park_Place|A_C_E_2_3,E
Chambers St,A,M,8 Av,AChambers St8 Av,Chambers_St_WTC_Park_Place|A_C_E_2_3,A|Chambers_St_WTC_Park_Place|A_C_E_2_3,A_C
Chambers St,C,M,8 Av,CChambers St8 Av,Chambers_St_WTC_Park_Place|A_C_E_2_3,C|Chambers_St_WTC_Park_Place|A_C_E_2_3,A_C
West 4 St-Washington Sq,A,M,8 Av,AWest 4 St-Washington Sq8 Av,West_4_St_Washington_Sq|A_B_C_D_E_F_M,A|West_4_St_Washington_Sq|A_B_C_D_E_F_M,A_C_E
West 4 St-Washington Sq,C,M,8 Av,CWest 4 St-Washington Sq8 Av,West_4_St_Washington_Sq|A_B_C_D_E_F_M,C|West_4_St_Washington_Sq|A_B_C_D_E_F_M,A_C_E
West 4 St-Washington Sq,E,M,8 Av,EWest 4 St-Washington Sq8 Av,West_4_St_Washington_Sq|A_B_C_D_E_F_M,E|West_4_St_Washington_Sq|A_B_C_D_E_F_M,A_C_E
14 St,A,M,8 Av,A14 St8 Av,14_St_8_Av|A_C_E_L,A|14_St_8_Av|A_C_E_L,A_C_E
14 St,C,M,8 Av,C14 St8 Av,14_St_8_Av|A_C_E_L,C|14_St_8_Av|A_C_E_L,A_C_E
14 St,E,M,8 Av,E14 St8 Av,14_St_8_Av|A_C_E_L,E|14_St_8_Av|A_C_E_L,A_C_E
Times Square-42 St,A,M,8 Av,A42 St-Port Authority Bus Terminal8 Av,Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,A|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,A_C_E
Times Square-42 St,C,M,8 Av,C42 St-Port Authority Bus Terminal8 Av,Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,C|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,A_C_E
Times Square-42 St,E,M,8 Av,E42 St-Port Authority Bus Terminal8 Av,Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,E|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,A_C_E
Lexington Av-53 St /51 St,E,M,53 St,ELexington Av-53 St53 St,Lexington_Av_53_St_51_St|E_M_6,E|Lexington_Av_53_St_51_St|E_M_6,E_M
Lexington Av-53 St /51 St,M,M,53 St,MLexington Av-53 St53 St,Lexington_Av_53_St_51_St|E_M_6,M|Lexington_Av_53_St_51_St|E_M_6,E_M
59 St-Columbus Circle,A,M,8 Av/Central Pk W,A59 St-Columbus Circle8 Av/Central Pk W,59_St_Columbus_Circle|A_B_C_D_1,A|59_St_Columbus_Circle|A_B_C_D_1,A_B_C_D
59 St-Columbus Circle,B,M,8 Av/Central Pk W,B59 St-Columbus Circle8 Av/Central Pk W,59_St_Columbus_Circle|A_B_C_D_1,B|59_St_Columbus_Circle|A_B_C_D_1,A_B_C_D
59 St-Columbus Circle,C,M,8 Av/Central Pk W,C59 St-Columbus Circle8 Av/Central Pk W,59_St_Columbus_Circle|A_B_C_D_1,C|59_St_Columbus_Circle|A_B_C_D_1,A_B_C_D
59 St-Columbus Circle,D,M,8 Av/Central Pk W,D59 St-Columbus Circle8 Av/Central Pk W,59_St_Columbus_Circle|A_B_C_D_1,D|59_St_Columbus_Circle|A_B_C_D_1,A_B_C_D
168 St,A,M,Washington Heights,A168 StWashington Heights,168_St|A_C_1,A|168_St|A_C_1,A_C
168 St,C,M,Washington Heights,C168 StWashington Heights,168_St|A_C_1,C|168_St|A_C_1,A_C
161 St-Yankee Stadium,B,Bx,Concourse,B161 St-Yankee StadiumConcourse,161_St_Yankee_Stadium|B_D_4,B|161_St_Yankee_Stadium|B_D_4,B_D
161 St-Yankee Stadium,D,Bx,Concourse,D161 St-Yankee StadiumConcourse,161_St_Yankee_Stadium|B_D_4,D|161_St_Yankee_Stadium|B_D_4,B_D
Franklin Av,2,B,Eastern Pkwy,2Franklin AvEastern Pkwy,Franklin_Av_Botanic_Garden|2_3_4_5_S,2|Franklin_Av_Botanic_Garden|2_3_4_5_S,2_3_4_5
Franklin Av,3,B,Eastern Pkwy,3Franklin AvEastern Pkwy,Franklin_Av_Botanic_Garden|2_3_4_5_S,3|Franklin_Av_Botanic_Garden|2_3_4_5_S,2_3_4_5
Franklin Av,4,B,Eastern Pkwy,4Franklin AvEastern Pkwy,Franklin_Av_Botanic_Garden|2_3_4_5_S,4|Franklin_Av_Botanic_Garden|2_3_4_5_S,2_3_4_5
Franklin Av,5,B,Eastern Pkwy,5Franklin AvEastern Pkwy,Franklin_Av_Botanic_Garden|2_3_4_5_S,5|Franklin_Av_Botanic_Garden|2_3_4_5_S,2_3_4_5
