Borough,Station,Line,Opening,Closing,Comments,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
MA,23 St,Lexington Ave Line (CBD),10/27/1904,,,8455360,8626250,8950227,8585211,8753010,8499291,8114015,8358245,8515813,8556331,7938960,7438792,7333898,7242727,7049793,6883746,6405029,6354313,6549972,6696131,6188464,6150575,5872358,5913657,5734830,5689630,5804029,6208127,6569384,6793160,6530598,5992686,5821639,5936764,6076297,5968916,6017515,6266461
MA,28 St,Lexington Ave Line (CBD),10/27/1904,,,6029353,6042612,6129334,5901601,6110144,6169541,5905372,6135917,6330759,6334157,5996956,5719319,5667102,5328841,4838110,4759262,4672004,4709008,5018066,5340682,5092526,4978352,4655979,4656578,4603897,4776536,5015487,5215435,5233138,5344122,5031634,4640282,4543591,4695471,4894510,4828401,4910710,5004561
MA,33 St,Lexington Ave Line (CBD),10/27/1904,,,6553362,6466112,6751832,6422913,6878639,6876833,6565332,6970144,6945926,6956591,6450252,6081576,5770625,5397232,5141262,4884102,4710692,4791333,5288784,5590678,5266690,5236930,4992213,5141271,5184597,5379872,5530422,5864614,6000923,5939504,5550732,5219967,5090537,5327264,5578511,5336751,5361153,5594985
MA,Grand Central-42 St,Lexington Ave Line (CBD),7/17/1918,,See Manhattan CBD Transfer: Grand Central-42 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,51 St,Lexington Ave Line (CBD),7/17/1918,,See Manhattan CBD Transfer: Lexington Av-53 St/51 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,59 St,Lexington Ave Line (CBD),7/17/1918,,See Manhattan CBD Transfer: Lexington Av/59 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lexington Ave Line (CBD) Total,Lexington Ave Line (CBD),,,,44311939,44339367,44251706,40987580,42469569,42195575,40975096,43804162,45903616,47126620,43072646,39989790,37954762,35862025,33989141,32602364,31324928,31681343,33178724,34781286,33389077,34027072,32780856,33001288,32744554,33740626,35692594,37867640,38200291,37110806,34282937,31215474,30623873,31508004,32389577,31548624,31978936,33269840
MA,68 St-Hunter College,Lexington Ave Line (Non-CBD),7/17/1918,,,6371787,6733955,7341741,7167646,7444627,7555761,7275207,7571675,7720373,7736087,7051560,7241918,7160787,7008999,6847903,6671766,6266830,6259616,6526700,6790937,6500140,6426263,6124985,6130167,6240475,6551881,6751349,7240592,7665312,7520235,6866104,6981518,6997501,7330981,7806487,7731940,7802626,7912727
MA,77 St,Lexington Ave Line (Non-CBD),7/17/1918,,,5052377,5226959,5787025,5892386,6351284,6552238,6342432,6732075,6832320,7058813,6491564,6274648,6142782,5973456,5994679,5909135,5740275,5869730,6385132,6660144,6314100,6263308,6025581,6002272,5874707,5868656,6091085,6618299,6847099,6654166,6500038,6629984,6668914,7025388,7470320,7548976,7880116,7950389
MA,86 St,Lexington Ave Line (Non-CBD),7/17/1918,,,9415145,9276736,9781550,9576672,10033877,9924773,9412193,9924403,10068451,10204555,9286972,9049524,9513788,9467660,9642467,9683447,9610425,9831261,10578320,10882228,10557304,11028954,10844367,10939414,10837960,11008001,11448951,11854766,12036254,11862284,11655372,11413624,11921638,12652724,13506341,13687059,14119621,14204962
